key,description,en,es
substance_text:spirit_dino_title,infobox title (after spare option),Spirit of a volatile ambassador,Espíritu de un embajador colérico
substance_text:spirit_skeleton_title,infobox title (after spare option),Spirit of the Celestial Acolyte,Espíritu del Discípulo Celestial
substance_text:spirit_slime_title,infobox title (after spare option),Spirit of a wondrous and cursed prince,Espíritu de un príncipe asombroso y embrujado
substance_text:spirit_angel_title,infobox title (after spare option),Spirit of temperate death,Espíritu de la muerte calmada
substance_text:essence_rabbit_title,infobox title (after kill option),Essence of an innocuous child,Esencia de un infante innocuo
substance_text:essence_bird_title,infobox title (after kill option),Essence of a hopeless courier,Esencia de un mensajero inútil
substance_text:essence_wolf_title,infobox title (after kill option),Essence of a guilt-ridden defender,Esencia de un guardia que carga culpa
substance_text:essence_void_title,infobox title (after kill option),Essence of the shrieking void,Esencia de un vacío chillando
substance_text:essence_spider_title,infobox title (after kill option),Essence of a forgotten warden,Esencia de un guardabosques olvidado
substance_text:essence_dragon_title,infobox title (after kill option),Essence of a fallen guardian,Esencia de un guardián caído
substance_text:essence_dino_title,infobox title (after kill option),Essence of a doomed ambassador,Esencia de un embajador condenado al fracaso
substance_text:essence_skeleton_title,infobox title (after kill option),Essence of the ghastly Acolyte,Esencia de un Discípulo cadavérico
substance_text:essence_slime_title,infobox title (after kill option),Essence of a mad prince,Esencia de un príncipe loco
substance_text:essence_angel_title,infobox title (after kill option),Essence of pointless death,Esencia de una muerte sin sentido
substance_text:spirit_ambassador_info,infobox description (after spare option),This ancient colossal beast blocks the way towards the edge of the forest.,La antigua bestia colosal bloquea el camino hacia el lindero del bosque.
substance_text:essence_ambassador_info,infobox description (after kill option),"It stands alone by the forest's edge. Nobody leaves, nobody enters.","Está sola en el lindero del bosque. Nadie se va, nadie entra."
substance_text:spirit_rabbit_info,infobox description (after spare option),"Though sickly and on the brink of death, there is a faint smile forming on the face of the rabbit.","Aunque enfermo y a punto de morir, hay una sonrisa que se desvanece dibujada en el rostro del conejo."
substance_text:essence_rabbit_info,infobox description (after kill option),"Once an innocent heart, now forevermore tainted by but a drop of the abyss.","Alguna vez fue un corazón inocente, ahora mancillado para siempre por tan solo un soplo del abismo."
substance_text:spirit_bird_info,infobox description (after spare option),"Battered yet unbroken, the beast sends out the message of a warning. It echoes out deep into the forest.","Maltrecha pero no destruida, la bestia emite el mensaje de advertencia. El eco retumba hasta lo profundo del bosque."
substance_text:essence_bird_info,infobox description (after kill option),Its distant warbles spell tale of doom that can oft be heard from lands beyond this accursed forest.,Su canto distante relata una historia de desgracia que resuena en tierras alejadas de este bosque maldito.
substance_text:spirit_wolf_info,infobox description (after spare option),The once melancholic wolf found a new purpose under your care. Do not let it down.,El antes melancólico lobo ahora encontró un nuevo propósito al estar a tu cuidado. No lo decepciones.
substance_text:essence_wolf_info,infobox description (after kill option),"It wanders mindlessly, peering into the darkness for someone… or something…","Vaga sin penar, mirando en la oscuridad con curiosidad, buscando a alguien... o algo..."""
substance_text:spirit_void_info,infobox description (after spare option),"The amalgamation wails no longer, floating relaxedly by your side, humming a playful nursery rhyme.","El amalgama ya no gimotea. Flota relajado cerca a ti, canturreando una rima juguetona e infantil."""
substance_text:essence_void_info,infobox description (after kill option),"Creatio ex nihilo, it wails in remembrance of sweet inexistence.","""Creatio ex nihilo"", se lamenta, recordando la dulce inexistencia."
substance_text:spirit_spider_info,infobox description (after spare option),"She twirls her webs, blocking the infinite void ahead. The reflection on the strings provides pleasant dreams.","Ella tuerce sus telarañas, bloqueando el vacío infinito por delante. El reflejo en los hilos otorga agradables sueños."
substance_text:essence_spider_info,infobox description (after kill option),"She weaves webs of miracles and dreams, but coincidentally, has lost her own…","Ella teje telarañas de milagros y sueños, pero, coincidencia, ha perdido los suyos..."
substance_text:spirit_dragon_info,infobox description (after spare option),"Jailor-turned-custodian, its scales shimmer under the night sky, bathing the path ahead in their radiant glow.","Un carcelero que ahora es guardián, sus escamas brillan bajo el cielo nocturno, bañando el camino por delante con su brillo radiante."
substance_text:essence_dragon_info,infobox description (after kill option),"A feral beast it stood in life, now leashed by the darkness itself nevertheless.","Una bestia montaraz que destacó estando viva, aún así ahora está reprimida por la mismísima oscuridad."
substance_text:spirit_dino_info,infobox description (after spare option),"The predecessor to all life stands among you, no different than the other wandering spirits...","El predecesor de toda vida está frente a ti, tan igual como los otros espíritus vagabundos."
substance_text:essence_dino_info,infobox description (after kill option),"The origin of life remains a mystery to many, yet this one claims to know the answers...","El origen de la vida permanece oculto para muchos, pero este de aquí asegura conocer las respuestas..."
substance_text:spirit_skeleton_info,infobox description (after spare option),"Echoing whispers whimpering about hope surround it: ""The outcomes of all things are written in the bones...""","Ecos de susurros que gimen en búsqueda de la esperanza lo rodean: ""Los finales de todas las cosas están tallados en los huesos..."" "
substance_text:essence_skeleton_info,infobox description (after kill option),"It trudged upon the winding dirt path, begging and praying for mercy to the stars above...","Caminó arduamente por el serpenteante y polvoriento camino, rezando y rogando por piedad a las estrellas de allá arriba..."
substance_text:spirit_slime_info,infobox description (after spare option),"Despite the countless failures, this slime tries still to regain its royal form.","A pesar de los incontables fracasos, esta baba intenta recuperar su forma real."
substance_text:essence_slime_info,infobox description (after kill option),"Even in death, its shapeless form pulsates softly. Beseeching you for true death.","Incluso en la muerte, su deforme cuerpo palpita ligeramente. Te ruega que lo mates de verdad."
substance_text:spirit_angel_info,infobox description (after spare option),"This one, they point towards themselves, ""was not worthy of mercy.""","Este, apuntan a sí mismos, no fue digno de piedad""."""
substance_text:essence_angel_info,infobox description (after kill option),"Death arrives to all equally, a truth that brings comfort to some and fear to others.","La muerte llega a todos por igual, una verdad que reconforta a algunos pero asusta a otros."
substance_text:heart_title,infobox title,Heart Of The Dark Forest,Corazón de El Bosque Oscuro
substance_text:heart_info,infobox description,"+100% - Umbral mist seeps through the severed veins, transmuting nearby matter...","+100 % - La niebla de sombras penetra mis venas cortadas, transmutando la materia cercana..."
substance_text:flesh_title,infobox title,Flesh Of The Dark Forest,Carne de El Bosque Oscuro
substance_text:flesh_info,infobox description,"+1% - 1 in 10 - Pulses faintly under your touch, as if it carries the heartbeat of the woods themselves.","+1 % - 1 de 10 - Palpita débilmente al tocarla, como si llevara consigo el latir de los mismísimos árboles."
substance_text:eye_title,infobox title,Eye Of The Dark Forest,Ojo de El Bosque Oscuro
substance_text:eye_info,infobox description,"+5% - 1 in 100 - The eye peers into the abyss, unveiling hidden truths buried deep within the shadows.","+5 % - 1 en 100 - El ojo mira con curiosidad en el abismo, revelando verdades prohibidas enterradas en lo profundo de las sombras."
substance_text:bone_title,infobox title,Bones Of The Dark Forest,Huesos de El Bosque Oscuro
substance_text:bone_info,infobox description,+50% - 1 in 1000 - The ancient bones of the unknown whisper of forgotten curses.,+50 % - 1 en 1000 - Los antiguos huesos de lo desconocido susurran maldiciones olvidadas
substance_text:the_hermit_title,tarot card title,The Hermit,El Ermitaño
substance_text:the_hermit_info,tarot card infobox description,"Forest clicks scale with Experience. Unlocks ""Strength"" charm.","Los recursos del bosque aumentan con Experiencia. Desbloquea el talismán ""La Fuerza""."
substance_text:the_emperor_title,tarot card title,The Emperor,El Emperador
substance_text:the_emperor_info,tarot card infobox description,"Unlocks cascading assignment in Population. Unlocks ""Hierophant"" charm.","Desbloquea la asignación en cascada en Población. Desbloquea el talismán ""El Hierofante""."
substance_text:the_empress_title,tarot card title,The Empress,La Emperatriz
substance_text:the_empress_info,tarot card infobox description,"Population works twice as fast. Unlocks ""The Chariot"" charm.","La población trabaja a doble ritmo. Desbloquea el talismán ""El Carro""."
substance_text:the_world_title,tarot card title,The World,El Mundo
substance_text:the_world_info,tarot card infobox description,"Forest clicks can drop new ""Shadow"" substances. Unlocks ""Wheel of Fortune"" charm.","Los recursos del bosque pueden contener nuevas sustancias tipo ""Sombra"". Desbloquea el talismán ""La Rueda de La Fortuna""."
substance_text:the_tower_title,tarot card title,The Tower,La Torre
substance_text:the_tower_info,tarot card infobox description,Houses can hold twice as many people.,Las casas pueden albergar el doble de personas.
substance_text:strength_title,tarot card title,Strength,La Fuerza
substance_text:strength_info,tarot card infobox description,"Forest clicks scale with Peasants. Unlocks ""Temperance"" charm.","Los recursos del bosque se incrementan con Aldeanos. Desbloquea el talismán ""La Templanza""."
substance_text:the_hierophant_title,tarot card title,The Hierophant,El Hierofante
substance_text:the_hierophant_info,tarot card infobox description,"Automated Mason assignment in Population. Unlocks ""The Hanged Man"" charm.","Asignación masónica automática en la Población. Desbloquea el talismán ""El Colgado""."
substance_text:the_chariot_title,tarot card title,The Chariot,El Carro
substance_text:the_chariot_info,tarot card infobox description,"Swordsmen attack twice as fast. Unlocks ""Judgement"" charm.","Los espadachines atacan el doble de rápido. Desbloquea el talismán ""El Juicio Final""."
substance_text:wheel_of_fortune_title,tarot card title,Wheel of Fortune,La Rueda de la Fortuna
substance_text:wheel_of_fortune_info,tarot card infobox description,"Shadow substances drop twice as often. Unlocks ""Death"" charm.","Se obtienen sustancias tipo sombra dos veces más seguido. Desbloquea el talismán ""La Muerte""."
substance_text:temperance_title,tarot card title,Temperance,Templanza
substance_text:temperance_info,tarot card infobox description,"Cooldowns in the Forest are 1 second. Unlocks ""The Magician"" charm.","Los tiempos de recarga en el Bosque son de 1 segundo. Desbloquea el talismán ""El Mago""."
substance_text:judgement_title,tarot card title,Judgement,El Juicio Final
substance_text:judgement_info,tarot card infobox description,Automatically decide the fate of defeated enemies.,Decide automáticamente el destino de los enemigos abatidos.
substance_text:the_hanged_man_title,tarot card title,The Hanged Man,El Colgado
substance_text:the_hanged_man_info,tarot card infobox description,Freemasonry does automated Sergeant assignment after houses are infinite.,La Masonería asigna automáticamente sargentos después de que las casas sean infinitas.
substance_text:death_title,tarot card title,Death,La Muerte
substance_text:death_info,tarot card infobox description,Reap automated Heart rewards from the best timeline.,Cosecha automáticamente las recompensas de Corazón de la mejor línea de tiempo.
substance_text:the_magician_title,tarot card title,The Magician,El Mago
substance_text:the_magician_info,tarot card infobox description,"Learn ""Harvest Forest"", click all forest buttons at once.","Aprende ""Cosechar bosque"", presiona todos los botones del bosque al mismo tiempo."
substance_text:the_fool_title,[DEPRECATED],The Fool,El Loco
substance_text:the_fool_info,[DEPRECATED],The Fool,El Loco
substance_text:the_high_priestess_title,prototype release 1.3,The High Priestess,El Sumo Sacerdote
substance_text:the_high_priestess_info,prototype release 1.3,Soulstone harvest is multiplied by total number of collected singularities.,La cosecha de piedra del alma se multiplica por el número total de singularidades obtenidas.
substance_text:the_lovers_title,[DEPRECATED],The Lovers,Los Enamorados
substance_text:the_lovers_info,[DEPRECATED],The Lovers,Los Enamorados
substance_text:justice_title,[DEPRECATED],Justice,La Justicia
substance_text:justice_info,[DEPRECATED],Justice,La Justicia
substance_text:the_devil_title,[DEPRECATED],The Devil,El Diablo
substance_text:the_devil_info,[DEPRECATED],The Devil,El Diablo
substance_text:the_star_title,[DEPRECATED],The Star,La Estrella
substance_text:the_star_info,[DEPRECATED],The Star,La Estrella
substance_text:the_moon_title,[DEPRECATED],The Moon,La Luna
substance_text:the_moon_info,[DEPRECATED],The Moon,La Luna
substance_text:the_sun_title,[DEPRECATED],The Sun,El Sol
substance_text:the_sun_info,[DEPRECATED],The Sun,El Sol
substance_text:the_fool_craft_icon,tarot card roman number,O,O
substance_text:the_magician_craft_icon,tarot card roman number,I,I
substance_text:the_high_priestess_craft_icon,tarot card roman number,II,II
substance_text:the_empress_craft_icon,tarot card roman number,III,III
substance_text:the_emperor_craft_icon,tarot card roman number,IV,IV
substance_text:the_hierophant_craft_icon,tarot card roman number,V,V
substance_text:the_lovers_craft_icon,tarot card roman number,VI,VI
substance_text:the_chariot_craft_icon,tarot card roman number,VII,VII
substance_text:strength_craft_icon,tarot card roman number,VIII,VIII
substance_text:the_hermit_craft_icon,tarot card roman number,IX,IX
substance_text:wheel_of_fortune_craft_icon,tarot card roman number,X,X
substance_text:justice_craft_icon,tarot card roman number,XI,XI
substance_text:the_hanged_man_craft_icon,tarot card roman number,XII,XII
substance_text:death_craft_icon,tarot card roman number,XIII,XIII
substance_text:temperance_craft_icon,tarot card roman number,XIV,XIV
substance_text:the_devil_craft_icon,tarot card roman number,XV,XV
substance_text:the_tower_craft_icon,tarot card roman number,XVI,XVI
substance_text:the_star_craft_icon,tarot card roman number,XVII,XVII
substance_text:the_moon_craft_icon,tarot card roman number,XVIII,XVIII
substance_text:the_sun_craft_icon,tarot card roman number,XIX,XIX
substance_text:judgement_craft_icon,tarot card roman number,XX,XX
substance_text:the_world_craft_icon,tarot card roman number,XXI,XXI
substance_category_text:charm,items category title - grant in-game bonus effects (craft with prestige currency),Charm,Talismán
substance_category_text:shadow,items category title - grant in-game bonus effects (random drops),Shadow,Sombra
substance_category_text:spirit,items category title - grant in-game bonus effects (enemy drops),Spirit,Espíritu
substance_category_text:essence,items category title - grant in-game bonus effects (enemy drops),Essence,Esencia
ui_label:audio_title,options menu options category label,Audio,Sonido
ui_label:effects_title,options menu options category label,Effects,Efectos
ui_label:display_title,options menu options category label,Display,Resolución
ui_label:infinity,"max amount quanity (1) e.g. ""Wood: Infinity""",Infinity,∞
ui_label:max,"max amount quanity (2) e.g. ""Wood: Infinity (MAX)""",MAX,MAX
ui_label:on,toggle option label (1),On,On
ui_label:off,toggle option label (2),Off,Off
ui_label:heart,[noun] special in-game resource,Heart,Corazón
ui_label:flesh,[noun] special in-game resource,Flesh,Carne
ui_label:eye,[noun] special in-game resource,Eye,Ojo
ui_label:bone,[noun] special in-game resource,Bone,Hueso
ui_label:settings,in-game options tab label,Settings,Configuración
ui_label:credits,in-game credits tab label,Credits,Créditos
ui_label:license,in-game license tab label,License,Licencia
role:programming,credits category title,Programming,Programación
role:art,credits category title,Art,Arte
role:music,credits category title,Music,Música
role:localization,credits category title,Localization,Localización
role:writing_narrative,credits category title,Writing & Narrative,Redacción y narrativa
role:publishing_management,credits category title,Publishing & Management,Publicación y administración 
credit:lead,credit role descriptor,Lead,Líder
credit:help,credit role descriptor,Help,Ayuda
credit:bugfix,credit role descriptor,Bugfix,Corrección de errores
credit:tracks,credit role descriptor,tracks,pistas
credit:polish,localization language descriptor,Polish,Polaco
credit:portuguese,localization language descriptor,Portuguese,Portugués
credit:french,localization language descriptor,French,Francés
credit:chinese,localization language descriptor,Chinese,Chino
credit:review,credit role descriptor,Review,Revisor
credit:steam,publishing platform,Steam,Steam
credit:itch,publishing platform,Itch,Itch
credit:theme,game theme,Theme,Tema
credit:shader,game shader script,Shader,Shader
credit:writing,credit role descriptor,Writing,Escritor
credit:external,"assets not contributed by credited *, but outsourced",External,Externo
ui_label:seconds,Time unit label (e.g. 5 seconds),seconds,segundos
credit:trailer,Steam Page Game Trailer,Trailer,Trailer
credit:thai,localization language descriptor,Thai,Tailandés
credit:ukrainian,localization language descriptor,Ukrainian,Ucraniano
